Month,area,regional,networksite,Availability (Ave)
Jan-25,AREA3,REGIONAL6,NOP SURABAYA,99.60084236864054
Jan-25,AREA3,REGIONAL7,NOP DENPASAR,99.67972530683811
Jan-25,AREA3,REGIONAL7,NOP FLORES,96.41718562874252
Jan-25,AREA3,REGIONAL7,NOP KUPANG,96.45045558086561
Jan-25,AREA3,REGIONAL7,NOP MATARAM,99.2813986599665
Feb-25,AREA1,REGIONAL1,NOP ACEH,98.62388286334055
Feb-25,AREA1,REGIONAL1,NOP BINJAI,99.26795620437956
Feb-25,AREA1,REGIONAL1,NOP MEDAN,99.4273903966597
Feb-25,AREA1,REGIONAL1,NOP PADANG SIDEMPUAN,98.16648907103824
Feb-25,AREA1,REGIONAL1,NOP PEMATANG SIANTAR,98.59165813715455
Feb-25,AREA1,REGIONAL1,NOP RANTAU PRAPAT,98.06312227074237
Feb-25,AREA1,REGIONAL10,NOP BATAM,97.75492322456815
Feb-25,AREA1,REGIONAL10,NOP BUKITTINGGI,99.24768
Feb-25,AREA1,REGIONAL10,NOP DUMAI,98.20681372549019
Feb-25,AREA1,REGIONAL10,NOP PADANG,99.01120959332638
Feb-25,AREA1,REGIONAL10,NOP PEKANBARU,98.30448954489545
Feb-25,AREA1,REGIONAL2,NOP BENGKULU,97.87293778801845
Feb-25,AREA1,REGIONAL2,NOP JAMBI,97.94945350734095
Feb-25,AREA1,REGIONAL2,NOP LAMPUNG,99.45450228832952
Feb-25,AREA1,REGIONAL2,NOP MUARA ENIM,97.64097477064219
Feb-25,AREA1,REGIONAL2,NOP PALEMBANG,98.14626099706744
Feb-25,AREA1,REGIONAL2,NOP PANGKAL PINANG,99.4941385135135
Feb-25,AREA3,REGIONAL5,NOP MAGELANG,99.65584713375796
Feb-25,AREA3,REGIONAL5,NOP PEKALONGAN,99.68033946251768
Feb-25,AREA3,REGIONAL5,NOP PURWOKERTO,99.59918367346938
Feb-25,AREA3,REGIONAL5,NOP SEMARANG,99.64238930659984
Feb-25,AREA3,REGIONAL5,NOP SURAKARTA,99.6386855862584
Feb-25,AREA3,REGIONAL5,NOP YOGYAKARTA,99.59132220795892
Feb-25,AREA3,REGIONAL6,NOP JEMBER,99.2722514619883
Feb-25,AREA3,REGIONAL6,NOP KEDIRI,99.82765196662693
Feb-25,AREA3,REGIONAL6,NOP LAMONGAN,99.77494382022472
Feb-25,AREA3,REGIONAL6,NOP MADIUN,99.7503890160183
Feb-25,AREA3,REGIONAL6,NOP MALANG,99.75517837837837
Feb-25,AREA3,REGIONAL6,NOP SIDOARJO,99.54704545454545
Feb-25,AREA3,REGIONAL6,NOP SURABAYA,99.60228287841191
Feb-25,AREA3,REGIONAL7,NOP DENPASAR,99.75962660443408
Feb-25,AREA3,REGIONAL7,NOP FLORES,94.40286995515694
Feb-25,AREA3,REGIONAL7,NOP KUPANG,96.79263097949885
Feb-25,AREA3,REGIONAL7,NOP MATARAM,98.85668060200669
Mar-25,AREA1,REGIONAL1,NOP ACEH,98.89795520231213
Mar-25,AREA1,REGIONAL1,NOP BINJAI,99.47325338894683
