Month,area,regional,networksite,site_id,Availability (Ave),site_class,target (%),Achievement
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG119,99.37,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG123,99.51,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG134,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG142,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG143,99.51,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG154,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG155,99.22,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG156,99.77,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG157,99.53,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG159,99.62,Silver,99.82,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG162,99.98,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG163,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG165,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG166,98.98,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG167,97.89,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG168,98.88,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG170,98.98,Silver,99.82,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG173,99.91,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SPG174,100.0,Bronze,99.63,Achieved
