Month,area,regional,networksite,Availability (Ave)
Mar-25,AREA1,REGIONAL1,NOP RANTAU PRAPAT,98.3371615720524
Mar-25,AREA1,REGIONAL10,NOP BATAM,97.93277777777779
Mar-25,AREA1,REGIONAL10,NOP BUKITTINGGI,99.23171428571429
Mar-25,AREA1,REGIONAL10,NOP DUMAI,98.52506525285482
Mar-25,AREA1,REGIONAL10,NOP PADANG,98.93639958376691
Mar-25,AREA1,REGIONAL10,NOP PEKANBARU,98.15934849416104
Mar-25,AREA1,REGIONAL2,NOP BENGKULU,97.84935483870969
Mar-25,AREA1,REGIONAL2,NOP JAMBI,98.01913539967374
Mar-25,AREA1,REGIONAL2,NOP LAMPUNG,99.54759153318078
Mar-25,AREA1,REGIONAL2,NOP MUARA ENIM,97.84852064220183
Mar-25,AREA1,REGIONAL2,NOP PALEMBANG,98.48326979472141
Mar-25,AREA1,REGIONAL2,NOP PANGKAL PINANG,99.57805743243243
Mar-25,AREA3,REGIONAL5,NOP MAGELANG,99.6867898089172
Mar-25,AREA3,REGIONAL5,NOP PEKALONGAN,99.64432814710041
Mar-25,AREA3,REGIONAL5,NOP PURWOKERTO,99.704
Mar-25,AREA3,REGIONAL5,NOP SEMARANG,99.70299916457812
Mar-25,AREA3,REGIONAL5,NOP SURAKARTA,99.69904477611941
Mar-25,AREA3,REGIONAL5,NOP YOGYAKARTA,99.5722079589217
Mar-25,AREA3,REGIONAL6,NOP JEMBER,99.47263618677043
Mar-25,AREA3,REGIONAL6,NOP KEDIRI,99.87240762812873
Mar-25,AREA3,REGIONAL6,NOP LAMONGAN,99.82420921544208
Mar-25,AREA3,REGIONAL6,NOP MADIUN,99.78402050113894
Mar-25,AREA3,REGIONAL6,NOP MALANG,99.8495900755124
Mar-25,AREA3,REGIONAL6,NOP SIDOARJO,99.65400476758046
Mar-25,AREA3,REGIONAL6,NOP SURABAYA,99.69291735537189
Mar-25,AREA3,REGIONAL7,NOP DENPASAR,99.77268065268066
Mar-25,AREA3,REGIONAL7,NOP FLORES,96.85938805970149
Mar-25,AREA3,REGIONAL7,NOP KUPANG,98.30286689419795
Mar-25,AREA3,REGIONAL7,NOP MATARAM,99.42413879598662
Apr-25,AREA1,REGIONAL1,NOP ACEH,98.90640776699028
Apr-25,AREA1,REGIONAL1,NOP BINJAI,99.39918580375783
Apr-25,AREA1,REGIONAL1,NOP MEDAN,99.43220752089137
Apr-25,AREA1,REGIONAL1,NOP PADANG SIDEMPUAN,98.78725409836066
Apr-25,AREA1,REGIONAL1,NOP PEMATANG SIANTAR,98.8189990281827
Apr-25,AREA1,REGIONAL1,NOP RANTAU PRAPAT,98.3000548245614
Apr-25,AREA1,REGIONAL10,NOP BATAM,97.93422413793104
Apr-25,AREA1,REGIONAL10,NOP BUKITTINGGI,99.20783599088838
Apr-25,AREA1,REGIONAL10,NOP DUMAI,98.07874125874126
Apr-25,AREA1,REGIONAL10,NOP PADANG,99.03379274611399
Apr-25,AREA1,REGIONAL10,NOP PEKANBARU,98.3307767669699
Apr-25,AREA1,REGIONAL2,NOP BENGKULU,98.45031034482759
Apr-25,AREA1,REGIONAL2,NOP JAMBI,98.05894779771616
Apr-25,AREA1,REGIONAL2,NOP LAMPUNG,99.54790737564323
Apr-25,AREA1,REGIONAL2,NOP MUARA ENIM,97.7054004576659
Apr-25,AREA1,REGIONAL2,NOP PALEMBANG,98.22135730007336
Apr-25,AREA1,REGIONAL2,NOP PANGKAL PINANG,99.4273569023569
Apr-25,AREA3,REGIONAL5,NOP MAGELANG,99.7182028241335
Apr-25,AREA3,REGIONAL5,NOP PEKALONGAN,99.75449929478138
Apr-25,AREA3,REGIONAL5,NOP PURWOKERTO,99.76935361216731
Apr-25,AREA3,REGIONAL5,NOP SEMARANG,99.7586204013378
Apr-25,AREA3,REGIONAL5,NOP SURAKARTA,99.75643387815751
Apr-25,AREA3,REGIONAL5,NOP YOGYAKARTA,99.6806675224647
Apr-25,AREA3,REGIONAL6,NOP JEMBER,99.6740291262136
Apr-25,AREA3,REGIONAL6,NOP KEDIRI,99.86429761904762
Apr-25,AREA3,REGIONAL6,NOP LAMONGAN,99.83597758405976
Apr-25,AREA3,REGIONAL6,NOP MADIUN,99.86928571428572
Apr-25,AREA3,REGIONAL6,NOP MALANG,99.87380798274003
Apr-25,AREA3,REGIONAL6,NOP SIDOARJO,99.83586618876942
Apr-25,AREA3,REGIONAL6,NOP SURABAYA,99.6548102310231
Apr-25,AREA3,REGIONAL7,NOP DENPASAR,99.81276346604216
Apr-25,AREA3,REGIONAL7,NOP FLORES,97.71294378698225
Apr-25,AREA3,REGIONAL7,NOP KUPANG,98.77590443686007
Apr-25,AREA3,REGIONAL7,NOP MATARAM,99.57583472454091
May-25,AREA1,REGIONAL1,NOP ACEH,98.826377245509
May-25,AREA1,REGIONAL1,NOP BINJAI,99.27259916492693
May-25,AREA1,REGIONAL1,NOP MEDAN,99.36520920502092
May-25,AREA1,REGIONAL1,NOP PADANG SIDEMPUAN,98.81495212038303
May-25,AREA1,REGIONAL1,NOP PEMATANG SIANTAR,98.54902818270165
May-25,AREA1,REGIONAL1,NOP RANTAU PRAPAT,98.1848847420417
May-25,AREA1,REGIONAL10,NOP BATAM,97.35629310344828
May-25,AREA1,REGIONAL10,NOP BUKITTINGGI,99.25556313993174
May-25,AREA1,REGIONAL10,NOP DUMAI,98.0403289013296
May-25,AREA1,REGIONAL10,NOP PADANG,98.9861673553719
May-25,AREA1,REGIONAL10,NOP PEKANBARU,98.19162237762237
May-25,AREA1,REGIONAL2,NOP BENGKULU,98.57994259471872
May-25,AREA1,REGIONAL2,NOP JAMBI,97.62398042414355
May-25,AREA1,REGIONAL2,NOP LAMPUNG,99.52440251572327
May-25,AREA1,REGIONAL2,NOP MUARA ENIM,97.95458285714285
